Loading pytorch-gpu/py3/1.10.1
  Loading requirement: cuda/11.2 nccl/2.9.6-1-cuda cudnn/8.1.1.33-cuda gcc/8.4.1
    openmpi/4.1.1-cuda intel-mkl/2020.4 magma/2.5.4-cuda sox/14.4.2
+ srun python main.py --batch_size 2 --lr 0.0001 --n_class 5 --dataset_dir /gpfsscratch/idris/sos/ssos022/Medical/BraTS2021/BraTS2021_Training_Data
Initialize training
loading dataset...
got datalist, extract: 
 {'channel_0': '/gpfsscratch/idris/sos/ssos022/Medical/BraTS2021/BraTS2021_Training_Data/BraTS2021_00081/BraTS2021_00081_flair.nii.gz', 'channel_1': '/gpfsscratch/idris/sos/ssos022/Medical/BraTS2021/BraTS2021_Training_Data/BraTS2021_00081/BraTS2021_00081_t1ce.nii.gz', 'channel_2': '/gpfsscratch/idris/sos/ssos022/Medical/BraTS2021/BraTS2021_Training_Data/BraTS2021_00081/BraTS2021_00081_t2.nii.gz', 'channel_3': '/gpfsscratch/idris/sos/ssos022/Medical/BraTS2021/BraTS2021_Training_Data/BraTS2021_00081/BraTS2021_00081_t1.nii.gz', 'label': '/gpfsscratch/idris/sos/ssos022/Medical/BraTS2021/BraTS2021_Training_Data/BraTS2021_00081/BraTS2021_00081_seg.nii.gz'}
dataset loaded ! Loading model...
Model loaded ! Initialize training...
start training loop, 626 steps per epoch
[Epoch 1/1 |  Step_Epoch 1/626 | Loss 3.4992384910583496]
[Epoch 1/1 |  Step_Epoch 2/626 | Loss 3.5266737937927246]
[Epoch 1/1 |  Step_Epoch 3/626 | Loss 3.4745352268218994]
[Epoch 1/1 |  Step_Epoch 4/626 | Loss 3.4519472122192383]
[Epoch 1/1 |  Step_Epoch 5/626 | Loss 3.4153568744659424]
[Epoch 1/1 |  Step_Epoch 6/626 | Loss 3.458134174346924]
[Epoch 1/1 |  Step_Epoch 7/626 | Loss 3.4177935123443604]
[Epoch 1/1 |  Step_Epoch 8/626 | Loss 3.3558995723724365]
[Epoch 1/1 |  Step_Epoch 9/626 | Loss 3.4814813137054443]
[Epoch 1/1 |  Step_Epoch 10/626 | Loss 3.3618853092193604]
[Epoch 1/1 |  Step_Epoch 11/626 | Loss 3.387702226638794]
[Epoch 1/1 |  Step_Epoch 12/626 | Loss 3.4743309020996094]
[Epoch 1/1 |  Step_Epoch 13/626 | Loss 3.4216012954711914]
[Epoch 1/1 |  Step_Epoch 14/626 | Loss 3.3916003704071045]
[Epoch 1/1 |  Step_Epoch 15/626 | Loss 3.335941791534424]
[Epoch 1/1 |  Step_Epoch 16/626 | Loss 3.2724685668945312]
[Epoch 1/1 |  Step_Epoch 17/626 | Loss 3.2417993545532227]
[Epoch 1/1 |  Step_Epoch 18/626 | Loss 3.3319239616394043]
[Epoch 1/1 |  Step_Epoch 19/626 | Loss 3.345338821411133]
[Epoch 1/1 |  Step_Epoch 20/626 | Loss 3.3564083576202393]
[Epoch 1/1 |  Step_Epoch 21/626 | Loss 3.314239501953125]
[Epoch 1/1 |  Step_Epoch 22/626 | Loss 3.2746591567993164]
[Epoch 1/1 |  Step_Epoch 23/626 | Loss 3.239727258682251]
[Epoch 1/1 |  Step_Epoch 24/626 | Loss 3.2843616008758545]
[Epoch 1/1 |  Step_Epoch 25/626 | Loss 3.166807174682617]
[Epoch 1/1 |  Step_Epoch 26/626 | Loss 3.2305569648742676]
[Epoch 1/1 |  Step_Epoch 27/626 | Loss 3.063782215118408]
[Epoch 1/1 |  Step_Epoch 28/626 | Loss 3.1734299659729004]
